,AFFGEOID,STATEFP,COUNTYFP,TRACTCE,GEOID,NAME.1,LSAD,ALAND,AWATER,AREA,PERIMETER,CAABA_,CAABA_ID,NAME.2,Total,White,Black,AIndian,Asian,Hawaiian,Max,residuals,div,Diversity,mean.partmat
12,1400000US06037102105,6,37,102105,6037102105,1021.05,CT,492761,0,18037550502,1379632.843,19,18,South Coast,1880,1249,37,5,131,0,1249,-1484.697429,0.664361702,0.335638298,12.01792401
31,1400000US06037104500,6,37,104500,6037104500,1045,CT,531002,0,18037550502,1379632.843,19,18,South Coast,2906,2311,0,0,5,0,2311,-431.8764666,0.795251204,0.204748796,11.98739166
39,1400000US06037104822,6,37,104822,6037104822,1048.22,CT,604352,0,18037550502,1379632.843,19,18,South Coast,2228,1533,5,23,156,0,1533,-1208.636056,0.688061041,0.311938959,12.21509104
56,1400000US06037106642,6,37,106642,6037106642,1066.42,CT,1577594,0,18037550502,1379632.843,19,18,South Coast,3323,2456,48,0,290,0,2456,-274.9685253,0.739091183,0.260908817,11.94470257
75,1400000US06037109601,6,37,109601,6037109601,1096.01,CT,2214559,33284,18037550502,1379632.843,19,18,South Coast,5285,3085,113,51,771,0,3085,370.1568118,0.583727531,0.416272469,12.06079059
80,1400000US06037111100,6,37,111100,6037111100,1111,CT,1059245,0,18037550502,1379632.843,19,18,South Coast,3017,1670,222,0,464,0,1670,-1017.802238,0.553529997,0.446470003,12.27247049
92,1400000US06037113212,6,37,113212,6037113212,1132.12,CT,998550,0,18037550502,1379632.843,19,18,South Coast,3299,2022,89,8,711,0,2022,-698.7971588,0.612913004,0.387086996,12.24263932
111,1400000US06037115202,6,37,115202,6037115202,1152.02,CT,1737514,3837,18037550502,1379632.843,19,18,South Coast,4808,2854,288,0,857,0,2854,182.571181,0.59359401,0.40640599,13.13110788
133,1400000US06037119201,6,37,119201,6037119201,1192.01,CT,947373,4796,18037550502,1379632.843,19,18,South Coast,4019,2917,11,7,200,0,2917,176.8524366,0.725802438,0.274197562,12.31495971
142,1400000US06037119800,6,37,119800,6037119800,1198,CT,1236126,5942,18037550502,1379632.843,19,18,South Coast,6239,3182,35,175,628,0,3182,447.8064073,0.510017631,0.489982369,12.41379132
146,1400000US06037120030,6,37,120030,6037120030,1200.3,CT,358619,0,18037550502,1379632.843,19,18,South Coast,2727,1399,72,0,177,0,1399,-1326.014555,0.513017968,0.486982032,12.71823444
157,1400000US06037121101,6,37,121101,6037121101,1211.01,CT,472252,0,18037550502,1379632.843,19,18,South Coast,3298,2508,70,33,361,0,2508,-217.5107189,0.760460885,0.239539115,12.00678778
162,1400000US06037121600,6,37,121600,6037121600,1216,CT,1139500,0,18037550502,1379632.843,19,18,South Coast,2634,1663,96,0,538,0,1663,-1056.060584,0.63135915,0.36864085,12.44280076
177,1400000US06037123203,6,37,123203,6037123203,1232.03,CT,583709,3900,18037550502,1379632.843,19,18,South Coast,3715,1788,187,34,200,0,1788,-908.4851121,0.481292059,0.518707941,12.41786542
184,1400000US06037123410,6,37,123410,6037123410,1234.1,CT,488725,8391,18037550502,1379632.843,19,18,South Coast,4091,2383,247,113,247,42,2383,-298.6001855,0.582498167,0.417501833,12.69268246
196,1400000US06037124103,6,37,124103,6037124103,1241.03,CT,323950,0,18037550502,1379632.843,19,18,South Coast,2200,967,44,62,379,0,967,-1764.960854,0.439545455,0.560454545,12.35321413
228,1400000US06037127605,6,37,127605,6037127605,1276.05,CT,644917,3699,18037550502,1379632.843,19,18,South Coast,3620,1230,180,12,408,0,1230,-1468.221687,0.339779006,0.660220994,13.25671715
233,1400000US06037127804,6,37,127804,6037127804,1278.04,CT,638158,0,18037550502,1379632.843,19,18,South Coast,3952,1717,244,8,349,0,1717,-965.3444319,0.434463563,0.565536437,13.01259595
240,1400000US06037128210,6,37,128210,6037128210,1282.1,CT,549953,0,18037550502,1379632.843,19,18,South Coast,5575,1630,349,26,159,0,1630,-1026.29581,0.292376682,0.707623318,12.9206585
269,1400000US06037132502,6,37,132502,6037132502,1325.02,CT,614443,10361,18037550502,1379632.843,19,18,South Coast,4024,2721,203,0,505,0,2721,28.48420166,0.676192843,0.323807157,13.76711794
274,1400000US06037134001,6,37,134001,6037134001,1340.01,CT,581333,2186,18037550502,1379632.843,19,18,South Coast,3878,2440,79,0,274,0,2440,-283.2779799,0.629190304,0.370809696,13.40280746
291,1400000US06037134522,6,37,134522,6037134522,1345.22,CT,615306,0,18037550502,1379632.843,19,18,South Coast,3959,2296,71,44,199,0,2296,-429.2626368,0.57994443,0.42005557,13.23758404
296,1400000US06037134903,6,37,134903,6037134903,1349.03,CT,564484,1794,18037550502,1379632.843,19,18,South Coast,5208,3430,279,0,877,32,3430,756.338442,0.658602151,0.341397849,13.23758404
318,1400000US06037139001,6,37,139001,6037139001,1390.01,CT,1239789,0,18037550502,1379632.843,19,18,South Coast,4743,3574,144,0,484,0,3574,866.8473572,0.75353152,0.24646848,13.59678309
323,1400000US06037139401,6,37,139401,6037139401,1394.01,CT,907259,0,18037550502,1379632.843,19,18,South Coast,2976,1859,121,0,72,0,1859,-853.8585313,0.624663978,0.375336022,13.59482137
327,1400000US06037139504,6,37,139504,6037139504,1395.04,CT,289067,0,18037550502,1379632.843,19,18,South Coast,3576,3080,107,0,59,0,3080,363.6683191,0.861297539,0.138702461,13.5189621
336,1400000US06037141201,6,37,141201,6037141201,1412.01,CT,693120,7927,18037550502,1379632.843,19,18,South Coast,3880,3103,84,7,330,0,3103,380.9624306,0.799742268,0.200257732,12.92920743
346,1400000US06037143200,6,37,143200,6037143200,1432,CT,957094,0,18037550502,1379632.843,19,18,South Coast,4090,2982,266,0,236,0,2982,305.1133746,0.729095355,0.270904645,12.38412199
366,1400000US06037183221,6,37,183221,6037183221,1832.21,CT,706764,0,18037550502,1379632.843,19,18,South Coast,3015,1912,19,32,177,6,1912,-826.1629065,0.634162521,0.365837479,11.46097882
378,1400000US06037183820,6,37,183820,6037183820,1838.2,CT,308656,0,18037550502,1379632.843,19,18,South Coast,3920,1583,75,19,112,0,1583,-1141.270308,0.403826531,0.596173469,11.36204392
393,1400000US06037186404,6,37,186404,6037186404,1864.04,CT,401149,0,18037550502,1379632.843,19,18,South Coast,2600,1077,19,80,186,39,1077,-1661.162906,0.414230769,0.585769231,11.41881788
414,1400000US06037189903,6,37,189903,6037189903,1899.03,CT,83969,0,18037550502,1379632.843,19,18,South Coast,2086,1524,145,0,170,0,1524,-1182.904561,0.730584851,0.269415149,12.04020341
422,1400000US06037190402,6,37,190402,6037190402,1904.02,CT,157146,0,18037550502,1379632.843,19,18,South Coast,2261,1763,129,0,232,0,1763,-947.8738744,0.779743476,0.220256524,11.80652709
434,1400000US06037191203,6,37,191203,6037191203,1912.03,CT,205208,0,18037550502,1379632.843,19,18,South Coast,2655,1149,83,0,691,0,1149,-1573.285651,0.432768362,0.567231638,11.63710731
446,1400000US06037191820,6,37,191820,6037191820,1918.2,CT,404735,0,18037550502,1379632.843,19,18,South Coast,2688,1168,184,0,141,0,1168,-1529.229358,0.43452381,0.56547619,11.87093241
458,1400000US06037192700,6,37,192700,6037192700,1927,CT,531205,0,18037550502,1379632.843,19,18,South Coast,3326,1164,153,4,853,11,1164,-1540.919904,0.349969934,0.650030066,11.63710731
492,1400000US06037199202,6,37,199202,6037199202,1992.02,CT,954106,0,18037550502,1379632.843,19,18,South Coast,2735,1471,4,0,188,0,1471,-1270.884138,0.537842779,0.462157221,11.26367878
513,1400000US06037203300,6,37,203300,6037203300,2033,CT,1489010,2852,18037550502,1379632.843,19,18,South Coast,2104,1096,241,0,329,0,1096,-1587.088678,0.520912548,0.479087452,11.17887617
516,1400000US06037203710,6,37,203710,6037203710,2037.1,CT,282072,0,18037550502,1379632.843,19,18,South Coast,3247,2068,77,13,35,22,2068,-655.7741441,0.636895596,0.363104404,11.17887617
535,1400000US06037206020,6,37,206020,6037206020,2060.2,CT,843243,30290,18037550502,1379632.843,19,18,South Coast,7406,3096,2607,71,218,32,3096,999.8735928,0.418039427,0.581960573,11.24681191
562,1400000US06037208801,6,37,208801,6037208801,2088.01,CT,234245,34211,18037550502,1379632.843,19,18,South Coast,3421,823,189,0,722,12,823,-1872.988948,0.240572932,0.759427068,11.44048235
572,1400000US06037209401,6,37,209401,6037209401,2094.01,CT,215664,0,18037550502,1379632.843,19,18,South Coast,3866,1092,375,18,524,9,1092,-1557.845676,0.282462494,0.717537506,11.54996923
598,1400000US06037211921,6,37,211921,6037211921,2119.21,CT,92665,0,18037550502,1379632.843,19,18,South Coast,2178,638,88,18,819,0,819,-2083.045241,0.376033058,0.623966942,11.58756411
608,1400000US06037212306,6,37,212306,6037212306,2123.06,CT,161921,0,18037550502,1379632.843,19,18,South Coast,3263,492,17,0,1764,0,1764,-2246.659071,0.540606804,0.459393196,11.54996923
620,1400000US06037213201,6,37,213201,6037213201,2132.01,CT,334942,0,18037550502,1379632.843,19,18,South Coast,4576,386,82,0,2032,107,2032,-2336.533734,0.444055944,0.555944056,11.66151813
632,1400000US06037214600,6,37,214600,6037214600,2146,CT,581188,0,18037550502,1379632.843,19,18,South Coast,2706,2248,48,3,236,8,2248,-482.9685253,0.830746489,0.169253511,12.05149231
642,1400000US06037216401,6,37,216401,6037216401,2164.01,CT,409972,0,18037550502,1379632.843,19,18,South Coast,4850,3628,58,0,627,0,3628,899.5122958,0.748041237,0.251958763,12.1022156
666,1400000US06037219500,6,37,219500,6037219500,2195,CT,557587,0,18037550502,1379632.843,19,18,South Coast,1663,303,657,0,307,0,657,-2276.886521,0.395069152,0.604930848,11.83485746
679,1400000US06037221304,6,37,221304,6037221304,2213.04,CT,227251,0,18037550502,1379632.843,19,18,South Coast,3903,1339,647,27,570,0,1339,-1243.367342,0.343069434,0.656930566,11.66151813
694,1400000US06037222600,6,37,222600,6037222600,2226,CT,651938,0,18037550502,1379632.843,19,18,South Coast,5535,1269,1243,0,743,113,1269,-1165.510405,0.229268293,0.770731707,11.52126086
707,1400000US06037226410,6,37,226410,6037226410,2264.1,CT,282483,0,18037550502,1379632.843,19,18,South Coast,3529,1549,46,23,65,0,1549,-1182.46469,0.438934542,0.561065458,11.33071262
719,1400000US06037228500,6,37,228500,6037228500,2285,CT,448896,0,18037550502,1379632.843,19,18,South Coast,4855,1155,681,0,63,0,1155,-1418.93255,0.237899073,0.762100927,11.40581969
741,1400000US06037232110,6,37,232110,6037232110,2321.1,CT,380033,0,18037550502,1379632.843,19,18,South Coast,2845,651,713,0,2,0,713,-1914.993923,0.250615114,0.749384886,11.4960987
770,1400000US06037237102,6,37,237102,6037237102,2371.02,CT,459964,0,18037550502,1379632.843,19,18,South Coast,2986,1018,807,5,0,0,1018,-1524.674204,0.340924313,0.659075687,11.47052169
780,1400000US06037237800,6,37,237800,6037237800,2378,CT,972785,0,18037550502,1379632.843,19,18,South Coast,4331,556,2721,0,0,0,2721,-1511.845047,0.628261372,0.371738628,11.5238228
799,1400000US06037239801,6,37,239801,6037239801,2398.01,CT,370763,0,18037550502,1379632.843,19,18,South Coast,3401,880,876,0,2,0,880,-1645.556539,0.258747427,0.741252573,11.29242122
816,1400000US06037241201,6,37,241201,6037241201,2412.01,CT,485903,0,18037550502,1379632.843,19,18,South Coast,2807,1010,1195,6,0,0,1195,-1436.418346,0.425721411,0.574278589,11.37684871
850,1400000US06037265202,6,37,265202,6037265202,2652.02,CT,575316,0,18037550502,1379632.843,19,18,South Coast,3807,2785,127,58,602,22,2785,73.62996134,0.73154715,0.26845285,12.5759905
863,1400000US06037267200,6,37,267200,6037267200,2672,CT,1175760,0,18037550502,1379632.843,19,18,South Coast,5254,3841,33,0,1211,0,3841,1106.310243,0.731062048,0.268937952,12.48812843
886,1400000US06037269906,6,37,269906,6037269906,2699.06,CT,207994,0,18037550502,1379632.843,19,18,South Coast,2763,1490,169,9,602,28,1490,-1210.95059,0.539268911,0.460731089,12.23109627
894,1400000US06037271400,6,37,271400,6037271400,2714,CT,1148034,0,18037550502,1379632.843,19,18,South Coast,3723,3023,17,21,372,0,3023,284.3409293,0.811979586,0.188020414,12.31410134
925,1400000US06037275500,6,37,275500,6037275500,2755,CT,762037,25712,18037550502,1379632.843,19,18,South Coast,5140,2924,356,163,519,8,2924,269.4407644,0.568871595,0.431128405,12.08266566
937,1400000US06037277200,6,37,277200,6037277200,2772,CT,1041832,0,18037550502,1379632.843,19,18,South Coast,2595,700,815,0,373,0,815,-1840.689547,0.314065511,0.685934489,11.79562361
957,1400000US06037294200,6,37,294200,6037294200,2942,CT,953769,0,18037550502,1379632.843,19,18,South Coast,5553,4015,8,101,270,220,4015,1274.10819,0.723032595,0.276967405,10.88097191
979,1400000US06037296901,6,37,296901,6037296901,2969.01,CT,617328,0,18037550502,1379632.843,19,18,South Coast,3974,2266,191,36,171,131,2266,-429.4927837,0.570206341,0.429793659,10.58329995
983,1400000US06037297120,6,37,297120,6037297120,2971.2,CT,436112,0,18037550502,1379632.843,19,18,South Coast,3849,2682,212,11,134,11,2682,-8.283059359,0.696804365,0.303195635,10.58329995
1005,1400000US06037301203,6,37,301203,6037301203,3012.03,CT,547434,0,18037550502,1379632.843,19,18,South Coast,4588,3269,20,0,923,0,3269,531.0851756,0.712510898,0.287489102,11.73132779
1015,1400000US06037301701,6,37,301701,6037301701,3017.01,CT,914081,17855,18037550502,1379632.843,19,18,South Coast,2765,2216,39,0,396,0,2216,-517.2012643,0.801446655,0.198553345,11.79044804
1021,1400000US06037302003,6,37,302003,6037302003,3020.03,CT,237181,0,18037550502,1379632.843,19,18,South Coast,3696,3091,12,11,348,50,3091,351.1005188,0.836309524,0.163690476,11.64754357
1027,1400000US06037302202,6,37,302202,6037302202,3022.02,CT,511545,0,18037550502,1379632.843,19,18,South Coast,5377,4272,10,32,562,0,4272,1531.604355,0.794495072,0.205504928,11.64547477
1049,1400000US06037311100,6,37,311100,6037311100,3111,CT,1704836,0,18037550502,1379632.843,19,18,South Coast,4021,2669,60,6,506,23,2669,-58.99153999,0.663765233,0.336234767,12.23511339
1066,1400000US06037400302,6,37,400302,6037400302,4003.02,CT,1302078,0,18037550502,1379632.843,19,18,South Coast,2990,1892,91,0,597,0,1892,-828.3009946,0.63277592,0.36722408,13.31996447
1081,1400000US06037401201,6,37,401201,6037401201,4012.01,CT,2342219,261,18037550502,1379632.843,19,18,South Coast,3269,2567,41,0,125,0,2567,-165.7051001,0.78525543,0.21474457,13.28022309
1096,1400000US06037401901,6,37,401901,6037401901,4019.01,CT,1722821,0,18037550502,1379632.843,19,18,South Coast,4149,2511,308,10,817,9,2511,-155.4671769,0.605206074,0.394793926,13.3691939
1104,1400000US06037402303,6,37,402303,6037402303,4023.03,CT,944282,0,18037550502,1379632.843,19,18,South Coast,4676,2355,364,26,161,0,2355,-297.5745787,0.503635586,0.496364414,12.98535051
1113,1400000US06037402600,6,37,402600,6037402600,4026,CT,2281996,0,18037550502,1379632.843,19,18,South Coast,7624,5957,594,156,374,0,5957,3361.484306,0.781348374,0.218651626,13.02406368
1145,1400000US06037403406,6,37,403406,6037403406,4034.06,CT,1261306,0,18037550502,1379632.843,19,18,South Coast,2930,901,74,0,1742,0,1742,-1823.51839,0.594539249,0.405460751,12.43312728
1171,1400000US06037404702,6,37,404702,6037404702,4047.02,CT,1156276,0,18037550502,1379632.843,19,18,South Coast,6697,1681,131,0,1116,0,1681,-1029.37771,0.251007914,0.748992086,12.00127684
1191,1400000US06037405701,6,37,405701,6037405701,4057.01,CT,1043428,0,18037550502,1379632.843,19,18,South Coast,3646,2003,54,0,408,0,2003,-726.4800327,0.549369172,0.450630828,12.62545448
1200,1400000US06037406402,6,37,406402,6037406402,4064.02,CT,978714,0,18037550502,1379632.843,19,18,South Coast,2120,1372,46,0,172,0,1372,-1359.46469,0.647169811,0.352830189,12.18186809
1258,1400000US06037408628,6,37,408628,6037408628,4086.28,CT,2460567,0,18037550502,1379632.843,19,18,South Coast,5138,1326,30,36,3498,100,3498,-1409.434003,0.680809654,0.319190346,11.33257707
1265,1400000US06037408706,6,37,408706,6037408706,4087.06,CT,1304766,0,18037550502,1379632.843,19,18,South Coast,1884,573,7,0,1217,0,1217,-2168.139892,0.64596603,0.35403397,11.31078564
1283,1400000US06037430723,6,37,430723,6037430723,4307.23,CT,486394,0,18037550502,1379632.843,19,18,South Coast,4690,1059,0,20,2980,73,2980,-1683.876467,0.635394456,0.364605544,11.86426563
1285,1400000US06037430801,6,37,430801,6037430801,4308.01,CT,1704595,5047,18037550502,1379632.843,19,18,South Coast,6780,1644,21,15,4488,0,4488,-1093.666742,0.661946903,0.338053097,12.12278986
1304,1400000US06037432102,6,37,432102,6037432102,4321.02,CT,1877154,0,18037550502,1379632.843,19,18,South Coast,5420,1756,6,8,3186,0,3186,-985.3879739,0.587822878,0.412177122,11.64406775
1316,1400000US06037432901,6,37,432901,6037432901,4329.01,CT,1134679,0,18037550502,1379632.843,19,18,South Coast,4941,912,7,0,3311,0,3311,-1829.139892,0.670107266,0.329892734,11.54640607
1326,1400000US06037433401,6,37,433401,6037433401,4334.01,CT,504095,0,18037550502,1379632.843,19,18,South Coast,2728,1654,0,32,738,0,1654,-1088.876467,0.606304985,0.393695015,11.49171094
1355,1400000US06037461100,6,37,461100,6037461100,4611,CT,1949756,8976,18037550502,1379632.843,19,18,South Coast,5002,2569,1236,12,374,0,2569,132.7530207,0.513594562,0.486405438,11.72660126
1370,1400000US06037462301,6,37,462301,6037462301,4623.01,CT,632478,0,18037550502,1379632.843,19,18,South Coast,4824,3139,373,58,332,0,3139,488.6581603,0.650704809,0.349295191,11.67107548
1397,1400000US06037480102,6,37,480102,6037480102,4801.02,CT,1228394,0,18037550502,1379632.843,19,18,South Coast,4639,1161,1,23,2349,0,2349,-1581.628384,0.506359129,0.493640871,11.66185147
1411,1400000US06037480804,6,37,480804,6037480804,4808.04,CT,838408,0,18037550502,1379632.843,19,18,South Coast,5357,1016,66,0,2251,0,2251,-1710.503047,0.420197872,0.579802128,11.4440356
1429,1400000US06037481606,6,37,481606,6037481606,4816.06,CT,862069,0,18037550502,1379632.843,19,18,South Coast,4919,827,52,0,3245,0,3245,-1902.976197,0.659686928,0.340313072,11.34355489
1439,1400000US06037482101,6,37,482101,6037482101,4821.01,CT,1152248,0,18037550502,1379632.843,19,18,South Coast,4908,1158,0,0,2973,0,2973,-1584.876467,0.605745721,0.394254279,11.27306224
1445,1400000US06037482304,6,37,482304,6037482304,4823.04,CT,619443,0,18037550502,1379632.843,19,18,South Coast,3440,850,23,0,1657,0,1657,-1887.170578,0.481686047,0.518313953,11.43666857
1462,1400000US06037500404,6,37,500404,6037500404,5004.04,CT,1192852,0,18037550502,1379632.843,19,18,South Coast,5021,2465,167,25,382,0,2465,-236.4467543,0.49093806,0.50906194,11.28767393
1474,1400000US06037501503,6,37,501503,6037501503,5015.03,CT,804801,0,18037550502,1379632.843,19,18,South Coast,4805,2551,182,6,107,0,2551,-146.7255226,0.530905307,0.469094693,11.12428091
1491,1400000US06037502500,6,37,502500,6037502500,5025,CT,3707188,108070,18037550502,1379632.843,19,18,South Coast,3916,1916,59,19,134,0,1916,-812.2396221,0.48927477,0.51072523,10.97246684
1503,1400000US06037503106,6,37,503106,6037503106,5031.06,CT,924879,0,18037550502,1379632.843,19,18,South Coast,3422,2198,42,27,23,0,2198,-534.457018,0.642314436,0.357685564,10.34552992
1522,1400000US06037504002,6,37,504002,6037504002,5040.02,CT,1543671,0,18037550502,1379632.843,19,18,South Coast,5529,3524,120,0,512,0,3524,810.8933866,0.637366612,0.362633388,10.13932022
1582,1400000US06037533104,6,37,533104,6037533104,5331.04,CT,341999,0,18037550502,1379632.843,19,18,South Coast,4645,2832,9,0,8,0,2832,91.35627242,0.609687836,0.390312164,11.16924973
1594,1400000US06037533502,6,37,533502,6037533502,5335.02,CT,234233,0,18037550502,1379632.843,19,18,South Coast,2255,1627,0,0,0,0,1627,-1115.876467,0.721507761,0.278492239,11.14554079
1604,1400000US06037533805,6,37,533805,6037533805,5338.05,CT,432100,0,18037550502,1379632.843,19,18,South Coast,3835,2813,0,38,0,0,2813,70.12353344,0.733507171,0.266492829,11.0441129
1617,1400000US06037534403,6,37,534403,6037534403,5344.03,CT,318230,0,18037550502,1379632.843,19,18,South Coast,2934,1981,76,9,39,0,1981,-743.0222262,0.675187457,0.324812543,11.11992083
1624,1400000US06037534802,6,37,534802,6037534802,5348.02,CT,403893,0,18037550502,1379632.843,19,18,South Coast,2790,1746,0,11,55,0,1746,-996.8764666,0.625806452,0.374193548,11.16924973
1632,1400000US06037535200,6,37,535200,6037535200,5352,CT,865476,0,18037550502,1379632.843,19,18,South Coast,5874,3338,823,76,20,2,3338,799.2951095,0.568266939,0.431733061,11.2678949
1649,1400000US06037535902,6,37,535902,6037535902,5359.02,CT,1013032,0,18037550502,1379632.843,19,18,South Coast,7959,4501,0,11,21,16,4501,1758.123533,0.565523307,0.434476693,11.05175464
1657,1400000US06037540102,6,37,540102,6037540102,5401.02,CT,1250584,0,18037550502,1379632.843,19,18,South Coast,6181,2432,595,32,9,0,2432,-163.2676114,0.393463841,0.606536159,11.01252459
1671,1400000US06037541002,6,37,541002,6037541002,5410.02,CT,3430371,469,18037550502,1379632.843,19,18,South Coast,3732,1175,1494,1,189,0,1494,-1197.241795,0.400321543,0.599678457,11.1535682
1693,1400000US06037542502,6,37,542502,6037542502,5425.02,CT,985367,9566,18037550502,1379632.843,19,18,South Coast,4121,1320,1476,19,0,0,1476,-1056.707273,0.358165494,0.641834506,11.0017543
1708,1400000US06037543400,6,37,543400,6037543400,5434,CT,2923903,180426,18037550502,1379632.843,19,18,South Coast,4265,1523,631,77,549,131,1523,-1063.336656,0.357092614,0.642907386,11.10929895
1727,1400000US06037550201,6,37,550201,6037550201,5502.01,CT,533403,0,18037550502,1379632.843,19,18,South Coast,2790,1908,61,0,300,23,1908,-819.7434579,0.683870968,0.316129032,10.57097305
1742,1400000US06037551202,6,37,551202,6037551202,5512.02,CT,1401068,0,18037550502,1379632.843,19,18,South Coast,7264,4577,506,0,393,0,4577,1959.653081,0.630093612,0.369906388,10.76050622
1756,1400000US06037552301,6,37,552301,6037552301,5523.01,CT,1249186,0,18037550502,1379632.843,19,18,South Coast,5014,2464,320,26,892,16,2464,-199.4901915,0.491424013,0.508575987,10.3664365
1783,1400000US06037554103,6,37,554103,6037554103,5541.03,CT,368572,0,18037550502,1379632.843,19,18,South Coast,1836,544,172,0,274,0,544,-2156.206344,0.296296296,0.703703704,10.60622516
1790,1400000US06037554302,6,37,554302,6037554302,5543.02,CT,715180,0,18037550502,1379632.843,19,18,South Coast,3851,937,989,10,316,0,989,-1560.52326,0.256816411,0.743183589,10.64136912
1800,1400000US06037554516,6,37,554516,6037554516,5545.16,CT,1453856,0,18037550502,1379632.843,19,18,South Coast,3777,819,430,0,2384,0,2384,-1817.20116,0.631188774,0.368811226,9.972089194
1812,1400000US06037555002,6,37,555002,6037555002,5550.02,CT,885482,24722,18037550502,1379632.843,19,18,South Coast,3191,1594,320,9,586,0,1594,-1069.490192,0.499529928,0.500470072,10.01028987
1829,1400000US06037570402,6,37,570402,6037570402,5704.02,CT,1431094,98015,18037550502,1379632.843,19,18,South Coast,3449,707,1317,18,276,39,1317,-1709.152328,0.381849812,0.618150188,10.89402346
1841,1400000US06037570902,6,37,570902,6037570902,5709.02,CT,1055804,0,18037550502,1379632.843,19,18,South Coast,3946,2529,231,3,347,0,2529,-156.5694993,0.640902179,0.359097821,10.36229774
1858,1400000US06037572002,6,37,572002,6037572002,5720.02,CT,1046070,0,18037550502,1379632.843,19,18,South Coast,5407,2174,1359,0,1410,0,2174,-231.7328798,0.402071389,0.597928611,10.72298566
1870,1400000US06037573002,6,37,573002,6037573002,5730.02,CT,324505,0,18037550502,1379632.843,19,18,South Coast,3923,2587,421,0,89,57,2587,-51.43389849,0.659444303,0.340555697,10.66126747
1882,1400000US06037573800,6,37,573800,6037573800,5738,CT,1534012,0,18037550502,1379632.843,19,18,South Coast,4511,3524,88,81,418,0,3524,802.9547591,0.781201507,0.218798493,10.07949584
1892,1400000US06037574602,6,37,574602,6037574602,5746.02,CT,568336,16243,18037550502,1379632.843,19,18,South Coast,1214,843,65,0,219,0,843,-1883.751129,0.694398682,0.305601318,10.01558598
1904,1400000US06037575300,6,37,575300,6037575300,5753,CT,648066,0,18037550502,1379632.843,19,18,South Coast,5280,2078,671,323,1416,0,2078,-498.4133711,0.393560606,0.606439394,10.66126747
1916,1400000US06037576302,6,37,576302,6037576302,5763.02,CT,323710,0,18037550502,1379632.843,19,18,South Coast,4399,1727,447,0,553,0,1727,-904.9837636,0.392589225,0.607410775,10.55341022
1926,1400000US06037576801,6,37,576801,6037576801,5768.01,CT,514751,0,18037550502,1379632.843,19,18,South Coast,4081,2938,429,27,228,0,2938,301.5507584,0.719921588,0.280078412,10.46293391
1945,1400000US06037600202,6,37,600202,6037600202,6002.02,CT,829152,0,18037550502,1379632.843,19,18,South Coast,6583,1018,3789,37,10,0,3789,-784.8933539,0.575573447,0.424426553,11.44858473
1972,1400000US06037601402,6,37,601402,6037601402,6014.02,CT,983306,0,18037550502,1379632.843,19,18,South Coast,4834,2596,281,88,54,0,2596,-77.16539381,0.537029375,0.462970625,11.72008159
1979,1400000US06037601900,6,37,601900,6037601900,6019,CT,696655,0,18037550502,1379632.843,19,18,South Coast,5632,1623,960,0,0,36,1623,-881.7176415,0.288174716,0.711825284,11.59354678
1993,1400000US06037602504,6,37,602504,6037602504,6025.04,CT,321449,0,18037550502,1379632.843,19,18,South Coast,4202,1311,1448,33,406,101,1448,-1072.653572,0.344597811,0.655402189,11.49055484
2010,1400000US06037603200,6,37,603200,6037603200,6032,CT,1105767,33318,18037550502,1379632.843,19,18,South Coast,3050,770,448,14,1304,0,1304,-1861.735682,0.427540984,0.572459016,11.26915797
2015,1400000US06037603600,6,37,603600,6037603600,6036,CT,937510,0,18037550502,1379632.843,19,18,South Coast,4272,1794,295,0,1355,9,1794,-875.6922443,0.41994382,0.58005618,11.37755789
2030,1400000US06037620201,6,37,620201,6037620201,6202.01,CT,229583,189668,18037550502,1379632.843,19,18,South Coast,1512,1219,47,0,67,16,1219,-1512.216607,0.806216931,0.193783069,11.77917548
2049,1400000US06037621104,6,37,621104,6037621104,6211.04,CT,1050402,608120,18037550502,1379632.843,19,18,South Coast,6306,5381,124,0,409,0,5381,2668.885715,0.853314304,0.146685696,11.46784692
2059,1400000US06037650101,6,37,650101,6037650101,6501.01,CT,1896574,6911,18037550502,1379632.843,19,18,South Coast,5929,1692,173,0,3406,0,3406,-1007.958262,0.574464497,0.425535503,11.32524972
2072,1400000US06037650800,6,37,650800,6037650800,6508,CT,1289508,0,18037550502,1379632.843,19,18,South Coast,7034,1780,215,0,4627,0,4627,-909.538813,0.657804947,0.342195053,11.19491579
2076,1400000US06037651002,6,37,651002,6037651002,6510.02,CT,1183622,0,18037550502,1379632.843,19,18,South Coast,4605,2016,153,0,1773,0,2016,-688.9199038,0.437785016,0.562214984,11.08259461
2095,1400000US06037670403,6,37,670403,6037670403,6704.03,CT,1670296,0,18037550502,1379632.843,19,18,South Coast,2635,1583,20,6,867,13,1583,-1154.914824,0.600759013,0.399240987,11.05660419
2132,1400000US06037701801,6,37,701801,6037701801,7018.01,CT,1899394,0,18037550502,1379632.843,19,18,South Coast,5859,3732,565,0,1139,0,3732,1129.289925,0.636968766,0.363031234,12.47430953
2146,1400000US06037702802,6,37,702802,6037702802,7028.02,CT,610045,0,18037550502,1379632.843,19,18,South Coast,2322,1394,126,123,360,12,1394,-1317.618121,0.600344531,0.399655469,12.15640443
