,AFFGEOID,STATEFP,COUNTYFP,TRACTCE,GEOID,NAME.1,LSAD,ALAND,AWATER,AREA,PERIMETER,CAABA_,CAABA_ID,NAME.2,Total,White,Black,AIndian,Asian,Hawaiian,Max,residuals,div,Diversity,mean.partmat
2450,1400000US06059052506,6,59,52506,6059052506,525.06,CT,940312,0,18037550502,1379632.843,19,18,South Coast,2583,1715,96,6,601,0,1715,-1004.060584,0.66395664,0.33604336,7.902232526
2458,1400000US06059052520,6,59,52520,6059052520,525.2,CT,1200128,49275,18037550502,1379632.843,19,18,South Coast,3384,2103,0,0,1013,0,2103,-639.8764666,0.621453901,0.378546099,7.942003953
2525,1400000US06059063605,6,59,63605,6059063605,636.05,CT,1035439,0,18037550502,1379632.843,19,18,South Coast,5142,1657,18,0,106,63,1657,-1081.410989,0.322248152,0.677751848,8.168181063
2533,1400000US06059063808,6,59,63808,6059063808,638.08,CT,735860,0,18037550502,1379632.843,19,18,South Coast,5968,2500,26,25,124,64,2500,-236.4263317,0.418900804,0.581099196,8.205939944
2540,1400000US06059063908,6,59,63908,6059063908,639.08,CT,1903625,0,18037550502,1379632.843,19,18,South Coast,5328,3371,138,0,1252,0,3371,662.3588645,0.632695195,0.367304805,8.159018715
2554,1400000US06059074300,6,59,74300,6059074300,743,CT,520237,0,18037550502,1379632.843,19,18,South Coast,4208,1540,29,36,19,0,1540,-1195.682085,0.365969582,0.634030418,8.178725415
2562,1400000US06059074601,6,59,74601,6059074601,746.01,CT,1173764,0,18037550502,1379632.843,19,18,South Coast,8653,4594,4,53,110,0,4594,1852.115862,0.530914134,0.469085866,8.259405701
2573,1400000US06059075002,6,59,75002,6059075002,750.02,CT,1517055,0,18037550502,1379632.843,19,18,South Coast,8625,4258,104,12,380,10,4258,1540.924073,0.493681159,0.506318841,8.314581348
7,1400000US06037101220,6,37,101220,6037101220,1012.2,CT,698886,0,18037550502,1379632.843,19,18,South Coast,2830,1820,98,23,341,0,1820,-898.5644198,0.643109541,0.356890459,11.66675637
29,1400000US06037104403,6,37,104403,6037104403,1044.03,CT,693083,0,18037550502,1379632.843,19,18,South Coast,2851,1706,15,7,24,0,1706,-1033.155235,0.598386531,0.401613469,11.98739166
